Client,30 Day Check-in,60 Day Check-in,90 Day Check-in,Activation Date,Assigned AM,Assigned CSA,Average MRR,Billing MRR,Client Code,Client_URL,Contract End Date,Contract Start Date,Customer_ID,Graduation Date,Graduation Status,Last CBR Date,Last Contacted Date,Notes / sentiment,Odin MRR,PSA Web MRR,Payments MRR,Payments Rev Share,Projects,Rev.io Product,Status,Tasks,Tigerpaw MRR,Type
MicroMed LLC,,,,"September 9, 2026 3:20 AM (EDT)",,,$915.92,$0.00,,,"September 9, 2026 3:20 AM (EDT)","September 9, 2026 3:20 AM (EDT)",22298,,,,,June 2026 retention import from Cohort_Jun26_wo_Payments_7.6.26---70f34bf5-b8e8-4d81-9703-88d2102c7435.xlsx; product-level MRR loaded.,$0.00,$0.00,$0.00,,,Tigerpaw,Active,,$915.92,
Telecom Unlimited,,,,"September 9, 2026 3:20 AM (EDT)",,Jakob Champion,$820.48,$0.00,TELECOMUNLIMITEDPSA,TELECOMUNLIMITEDPSA,"September 9, 2026 3:20 AM (EDT)","July 27, 2026 8:00 PM (EDT)",22813,,,"May 22, 2026",,June 2026 retention import from Cohort_Jun26_wo_Payments_7.6.26---70f34bf5-b8e8-4d81-9703-88d2102c7435.xlsx; product-level MRR loaded.,$0.00,$0.00,$0.00,,,"PSA Web, Tigerpaw",Active,,$913.22,
Marchese Computer Products,,,,"September 9, 2026 3:20 AM (EDT)",,Jamie Butler,$879.08,$0.00,,,"September 9, 2026 3:20 AM (EDT)","September 9, 2026 3:20 AM (EDT)",22190,,,,,June 2026 retention import from Cohort_Jun26_wo_Payments_7.6.26---70f34bf5-b8e8-4d81-9703-88d2102c7435.xlsx; product-level MRR loaded.,$0.00,$0.00,$0.00,,,Tigerpaw,Active,,$850.73,
Pye-Barker Fire & Safety (United Automation),,,,"September 9, 2026 3:20 AM (EDT)",,,$847.44,$0.00,,,"September 9, 2026 3:20 AM (EDT)","September 9, 2026 3:20 AM (EDT)",22107,,,,,June 2026 retention import from Cohort_Jun26_wo_Payments_7.6.26---70f34bf5-b8e8-4d81-9703-88d2102c7435.xlsx; product-level MRR loaded.,$0.00,$0.00,$0.00,,,Tigerpaw,Active,,$847.44,
Covoda Communications,,,,"December 19, 2019 7:00 PM (EST)",,Justin Lee,$732.63,,"COVODA, TOLY","COVODA, TOLY","June 24, 2022 8:00 PM (EDT)","June 25, 2019 8:00 PM (EDT)",1294,,,"January 3, 2024",,,,,,,,"Billing, Payments",,,,
DFW Office Systems,,,,"September 9, 2026 3:20 AM (EDT)",,Jake Borah,$882.06,$0.00,,,"September 9, 2026 3:20 AM (EDT)","September 9, 2026 3:20 AM (EDT)",22547,,,,,June 2026 retention import from Cohort_Jun26_wo_Payments_7.6.26---70f34bf5-b8e8-4d81-9703-88d2102c7435.xlsx; product-level MRR loaded.,$0.00,$0.00,$0.00,,,Tigerpaw,Active,,$882.06,
NCC Systems inc,,,,"September 9, 2026 3:20 AM (EDT)",,Justin Lee,$843.39,$0.00,,,"September 9, 2026 3:20 AM (EDT)","September 9, 2026 3:20 AM (EDT)",22396,,,,,June 2026 retention import from Cohort_Jun26_wo_Payments_7.6.26---70f34bf5-b8e8-4d81-9703-88d2102c7435.xlsx; product-level MRR loaded.,$0.00,$0.00,$0.00,,,Tigerpaw,Active,,$843.39,
Smartcom Home Technologies,,,,"September 9, 2026 3:20 AM (EDT)",rinor.berisha,,$845.00,$0.00,SMARTCOMHOMEPSA,SMARTCOMHOMEPSA,"September 9, 2026 3:20 AM (EDT)","April 13, 2026 8:00 PM (EDT)",22314,,,,,June 2026 retention import from Cohort_Jun26_wo_Payments_7.6.26---70f34bf5-b8e8-4d81-9703-88d2102c7435.xlsx; product-level MRR loaded.,$0.00,$0.00,$0.00,,,"PSA Web, Tigerpaw",Churned,,$0.00,
Grennan Communications,,,,"September 9, 2026 3:20 AM (EDT)",,Katerra Stephenson-Greenwood,$825.79,$0.00,GRENNANCOMMUNICATIONSPSA,GRENNANCOMMUNICATIONSPSA,"September 9, 2026 3:20 AM (EDT)","June 24, 2026 8:00 PM (EDT)",22766,,,"May 15, 2026",,June 2026 retention import from Cohort_Jun26_wo_Payments_7.6.26---70f34bf5-b8e8-4d81-9703-88d2102c7435.xlsx; product-level MRR loaded.,$0.00,$0.00,$0.00,,,"PSA Web, Tigerpaw",Active,,$837.38,
Bartholomew Electric,,,,"September 9, 2026 3:20 AM (EDT)",,Ingrid Beard,$832.85,$0.00,,,"September 9, 2026 3:20 AM (EDT)","September 9, 2026 3:20 AM (EDT)",22541,,,"March 10, 2025",,June 2026 retention import from Cohort_Jun26_wo_Payments_7.6.26---70f34bf5-b8e8-4d81-9703-88d2102c7435.xlsx; product-level MRR loaded.,$0.00,$0.00,$0.00,,,Tigerpaw,Active,,$832.85,
TIPS Resources,,,,"August 31, 2026 3:22 AM (EDT)",,Justin Lee,$824.34,$0.00,,,"August 31, 2026 3:22 AM (EDT)","August 31, 2026 3:22 AM (EDT)",22551,,,,,June 2026 retention import from Cohort_Jun26_wo_Payments_7.6.26---70f34bf5-b8e8-4d81-9703-88d2102c7435.xlsx; product-level MRR loaded.,$0.00,$0.00,$0.00,,,Tigerpaw,Active,,$824.34,
River Parish Security,,,,"September 9, 2026 3:21 AM (EDT)",,Katerra Stephenson-Greenwood,$588.50,$0.00,,,"September 9, 2026 3:21 AM (EDT)","September 9, 2026 3:21 AM (EDT)",22448,,,"June 18, 2024",,June 2026 retention import from Cohort_Jun26_wo_Payments_7.6.26---70f34bf5-b8e8-4d81-9703-88d2102c7435.xlsx; product-level MRR loaded.,$0.00,$0.00,-$7.15,,,Tigerpaw,Active,,$588.50,
Idea Networks Inc.,,,,"September 9, 2026 3:20 AM (EDT)",,Jakob Champion,$823.90,$0.00,,,"September 9, 2026 3:20 AM (EDT)","September 9, 2026 3:20 AM (EDT)",22402,,,"June 9, 2026",,June 2026 retention import from Cohort_Jun26_wo_Payments_7.6.26---70f34bf5-b8e8-4d81-9703-88d2102c7435.xlsx; product-level MRR loaded.,$0.00,$0.00,$0.00,,,Tigerpaw,Active,,$823.90,
Integrated POS,,,,"September 9, 2026 3:21 AM (EDT)",Sarah McGovern,Ingrid Beard,$720.00,$0.00,,,"September 9, 2026 3:21 AM (EDT)","September 9, 2026 3:21 AM (EDT)",22075,,,"January 8, 2024",,June 2026 retention import from Cohort_Jun26_wo_Payments_7.6.26---70f34bf5-b8e8-4d81-9703-88d2102c7435.xlsx; product-level MRR loaded.,$0.00,$0.00,$0.00,,,,Active,,$720.00,
"Compu-Tech, Inc.",,,,"September 9, 2026 3:20 AM (EDT)",Sarah McGovern,Justin Lee,$810.00,$0.00,COMPUTECHPSA,COMPUTECHPSA,"September 9, 2026 3:20 AM (EDT)","April 5, 2026 8:00 PM (EDT)",22654,,,"December 15, 2025",,June 2026 retention import from Cohort_Jun26_wo_Payments_7.6.26---70f34bf5-b8e8-4d81-9703-88d2102c7435.xlsx; product-level MRR loaded.,$0.00,$0.00,$0.00,,,"PSA Web, Tigerpaw",Active,,$0.00,
Teleco Charleston,,,,"September 9, 2026 3:20 AM (EDT)",Sarah McGovern,Ingrid Beard,$880.40,$0.00,,,"September 9, 2026 3:20 AM (EDT)","September 9, 2026 3:20 AM (EDT)",22652,,,"August 7, 2023",,June 2026 retention import from Cohort_Jun26_wo_Payments_7.6.26---70f34bf5-b8e8-4d81-9703-88d2102c7435.xlsx; product-level MRR loaded.,$0.00,$0.00,$0.00,,,Tigerpaw,Active,,$880.40,
"Harris Technology Services, Inc",,,,"September 9, 2026 3:20 AM (EDT)",Sarah McGovern,Katerra Stephenson-Greenwood,$804.54,$0.00,,,"September 9, 2026 3:20 AM (EDT)","September 9, 2026 3:20 AM (EDT)",22146,,,,,June 2026 retention import from Cohort_Jun26_wo_Payments_7.6.26---70f34bf5-b8e8-4d81-9703-88d2102c7435.xlsx; product-level MRR loaded.,$0.00,$0.00,$0.00,,,Tigerpaw,Active,,$804.54,
Globalscope Communications Crp,,,,"September 9, 2026 3:20 AM (EDT)",,,$801.43,$0.00,,,"September 9, 2026 3:20 AM (EDT)","September 9, 2026 3:20 AM (EDT)",22093,,,,,June 2026 retention import from Cohort_Jun26_wo_Payments_7.6.26---70f34bf5-b8e8-4d81-9703-88d2102c7435.xlsx; product-level MRR loaded.,$0.00,$0.00,$0.00,,,Tigerpaw,Active,,$801.43,
"E. Berkowitz & Co., Inc. dba SECURITY SYSTEMS UNLIMITED",,,,"April 30, 2025 8:00 PM (EDT)",,,$856.00,$0.00,,,"September 9, 2026 3:20 AM (EDT)","September 9, 2026 3:20 AM (EDT)",22431,,,,,June 2026 retention import from Cohort_Jun26_wo_Payments_7.6.26---70f34bf5-b8e8-4d81-9703-88d2102c7435.xlsx; product-level MRR loaded.,$0.00,$0.00,$35.14,,,Tigerpaw,Active,,$856.00,
Particle Communications,,,,"June 29, 2026 1:00 PM (EDT)",,Andrew Whisenant,$0.00,$0.00,PARTICLEPSA,PARTICLEPSA,"June 29, 2026 1:00 PM (EDT)","June 29, 2026 1:00 PM (EDT)",22901,,,,,June 2026 retention import from Cohort_Jun26_wo_Payments_7.6.26---70f34bf5-b8e8-4d81-9703-88d2102c7435.xlsx; product-level MRR loaded.,$0.00,$0.00,$0.00,,,PSA Web,Churned,,$0.00,
SAIA Electric,,,,"August 24, 2026 3:24 AM (EDT)",,Katerra Stephenson-Greenwood,$800.00,$0.00,SAIAELECTRICPSA,SAIAELECTRICPSA,"August 24, 2026 3:24 AM (EDT)","August 24, 2026 3:24 AM (EDT)",22933,,,,,June 2026 retention import from Cohort_Jun26_wo_Payments_7.6.26---70f34bf5-b8e8-4d81-9703-88d2102c7435.xlsx; product-level MRR loaded.,$0.00,$800.00,$0.00,,,PSA Web,Active,,$0.00,
Security Vision,,,,"June 29, 2026 1:00 PM (EDT)",,Jaylin Bender,$35.14,$0.00,SECURITYVISIONPSA,SECURITYVISIONPSA,"June 29, 2026 1:00 PM (EDT)","June 29, 2026 1:00 PM (EDT)",22960,,,,,June 2026 retention import from Cohort_Jun26_wo_Payments_7.6.26---70f34bf5-b8e8-4d81-9703-88d2102c7435.xlsx; product-level MRR loaded.,$0.00,$0.00,$35.14,,,Payments,Active,,$0.00,
"Techoptics, Inc",,,,"September 9, 2026 3:20 AM (EDT)",,Justin Lee,$837.92,$0.00,,,"September 9, 2026 3:20 AM (EDT)","September 9, 2026 3:20 AM (EDT)",22728,,,,,June 2026 retention import from Cohort_Jun26_wo_Payments_7.6.26---70f34bf5-b8e8-4d81-9703-88d2102c7435.xlsx; product-level MRR loaded.,$0.00,$0.00,$0.00,,,Tigerpaw,Active,,$837.92,
Tolleson Inc,"December 4, 2025","January 3, 2026","February 2, 2026","August 31, 2025 8:00 PM (EDT)",Ryan Burton,Katerra Stephenson-Greenwood,$798.05,$0.00,TOLLESONPSA,TOLLESONPSA,"August 6, 2026 3:23 AM (EDT)","August 14, 2025 8:00 PM (EDT)",22884,"November 4, 2025",,,,June 2026 retention import from Cohort_Jun26_wo_Payments_7.6.26---70f34bf5-b8e8-4d81-9703-88d2102c7435.xlsx; product-level MRR loaded.,$0.00,$796.00,$34.01,,,PSA Web,Active,,$0.00,
H & H Communications,,,,"September 9, 2026 3:20 AM (EDT)",,,$850.86,$0.00,,,"September 9, 2026 3:20 AM (EDT)","September 9, 2026 3:20 AM (EDT)",22438,,,,,June 2026 retention import from Cohort_Jun26_wo_Payments_7.6.26---70f34bf5-b8e8-4d81-9703-88d2102c7435.xlsx; product-level MRR loaded.,$0.00,$0.00,$0.00,,,Tigerpaw,Active,,$850.86,
Argo Medical,,,,"September 9, 2026 3:19 AM (EDT)",,,"$1,070.86",$0.00,,,"September 9, 2026 3:19 AM (EDT)","September 9, 2026 3:19 AM (EDT)",22473,,,,,June 2026 retention import from Cohort_Jun26_wo_Payments_7.6.26---70f34bf5-b8e8-4d81-9703-88d2102c7435.xlsx; product-level MRR loaded.,$0.00,$0.00,$0.00,,,Tigerpaw,Active,,"$1,070.86",
PCS Technologies Inc,,,,"September 9, 2026 3:20 AM (EDT)",,Jakob Champion,$849.00,$0.00,,,"September 9, 2026 3:20 AM (EDT)","September 9, 2026 3:20 AM (EDT)",22403,,,"November 21, 2024",,June 2026 retention import from Cohort_Jun26_wo_Payments_7.6.26---70f34bf5-b8e8-4d81-9703-88d2102c7435.xlsx; product-level MRR loaded.,$0.00,$0.00,$0.00,,,Tigerpaw,Active,,$849.00,
KeyComm,,,,"September 9, 2026 3:20 AM (EDT)",,Katerra Stephenson-Greenwood,$826.68,$0.00,,,"September 9, 2026 3:20 AM (EDT)","September 9, 2026 3:20 AM (EDT)",22255,,,,,June 2026 retention import from Cohort_Jun26_wo_Payments_7.6.26---70f34bf5-b8e8-4d81-9703-88d2102c7435.xlsx; product-level MRR loaded.,$0.00,$0.00,$94.54,,,Tigerpaw,Active,,$826.68,
Xclutel,"July 18, 2026","August 17, 2026","September 16, 2026","June 29, 2026 1:00 PM (EDT)",,Ingrid Beard,$0.00,$0.00,,,"June 29, 2026 1:00 PM (EDT)","June 29, 2026 1:00 PM (EDT)",22279,"June 18, 2026",,"April 13, 2026",,June 2026 retention import from Cohort_Jun26_wo_Payments_7.6.26---70f34bf5-b8e8-4d81-9703-88d2102c7435.xlsx; product-level MRR loaded.,$0.00,$0.00,$0.00,,,Tigerpaw,Churned,,$0.00,
Tri-State Security,,,,"September 9, 2026 3:20 AM (EDT)",,Jakob Champion,$790.00,$0.00,,,"September 9, 2026 3:20 AM (EDT)","September 9, 2026 3:20 AM (EDT)",22235,,,"September 3, 2024",,June 2026 retention import from Cohort_Jun26_wo_Payments_7.6.26---70f34bf5-b8e8-4d81-9703-88d2102c7435.xlsx; product-level MRR loaded.,$0.00,$0.00,$0.00,,,Tigerpaw,Active,,$790.00,
E & H Integrated Systems,,,,"September 9, 2026 3:20 AM (EDT)",,Justin Lee,$790.00,$0.00,,,"September 9, 2026 3:20 AM (EDT)","September 9, 2026 3:20 AM (EDT)",22096,,,"August 12, 2025",,June 2026 retention import from Cohort_Jun26_wo_Payments_7.6.26---70f34bf5-b8e8-4d81-9703-88d2102c7435.xlsx; product-level MRR loaded.,$0.00,$0.00,$0.00,,,Tigerpaw,Active,,$790.00,
AVC Home Theaters,,,,"September 9, 2026 3:20 AM (EDT)",rinor.berisha,Jakob Champion,$790.00,$0.00,,,"September 9, 2026 3:20 AM (EDT)","September 9, 2026 3:20 AM (EDT)",22159,,,,,June 2026 retention import from Cohort_Jun26_wo_Payments_7.6.26---70f34bf5-b8e8-4d81-9703-88d2102c7435.xlsx; product-level MRR loaded.,$0.00,$0.00,$0.00,,,Tigerpaw,Active,,$790.00,
CNR Inc.,,,,"September 9, 2026 3:20 AM (EDT)",,Ingrid Beard,$816.33,$0.00,,,"September 9, 2026 3:20 AM (EDT)","September 9, 2026 3:20 AM (EDT)",22753,,,,,June 2026 retention import from Cohort_Jun26_wo_Payments_7.6.26---70f34bf5-b8e8-4d81-9703-88d2102c7435.xlsx; product-level MRR loaded.,$0.00,$0.00,$0.00,,,Tigerpaw,Active,,$790.00,
World Radio Telecommunications,,,,"September 9, 2026 3:20 AM (EDT)",,Katerra Stephenson-Greenwood,$790.00,$0.00,,,"September 9, 2026 3:20 AM (EDT)","September 9, 2026 3:20 AM (EDT)",22800,,,"September 3, 2024",,June 2026 retention import from Cohort_Jun26_wo_Payments_7.6.26---70f34bf5-b8e8-4d81-9703-88d2102c7435.xlsx; product-level MRR loaded.,$0.00,$0.00,$0.00,,,Tigerpaw,Active,,$790.00,
Sru Communications & Technology,,,,"February 10, 2025 7:00 PM (EST)",,,$537.76,$530.50,SRU,SRU,"February 9, 2027 7:00 PM (EST)","February 10, 2026 7:00 PM (EST)",21968,,,,,June 2026 retention import from Cohort_Jun26_wo_Payments_7.6.26---70f34bf5-b8e8-4d81-9703-88d2102c7435.xlsx; product-level MRR loaded.,$0.00,$0.00,$0.00,,,Billing,Active,,$0.00,
B & L Telephone,,,,"September 9, 2026 3:20 AM (EDT)",,Justin Lee,$782.66,$0.00,,,"September 9, 2026 3:20 AM (EDT)","September 9, 2026 3:20 AM (EDT)",22172,,,,,June 2026 retention import from Cohort_Jun26_wo_Payments_7.6.26---70f34bf5-b8e8-4d81-9703-88d2102c7435.xlsx; product-level MRR loaded.,$0.00,$0.00,$0.00,,,Tigerpaw,Active,,$782.66,
Datapro Solutions,,,,"September 9, 2026 3:20 AM (EDT)",,Katerra Stephenson-Greenwood,$782.66,$0.00,,,"September 9, 2026 3:20 AM (EDT)","September 9, 2026 3:20 AM (EDT)",22704,,,"July 14, 2026",,June 2026 retention import from Cohort_Jun26_wo_Payments_7.6.26---70f34bf5-b8e8-4d81-9703-88d2102c7435.xlsx; product-level MRR loaded.,$0.00,$0.00,$0.00,,,Tigerpaw,Active,,$782.66,
Sound & Vision Design Center,,,,"September 9, 2026 3:20 AM (EDT)",,Justin Lee,$836.12,$0.00,,,"September 9, 2026 3:20 AM (EDT)","September 9, 2026 3:20 AM (EDT)",22176,,,,,June 2026 retention import from Cohort_Jun26_wo_Payments_7.6.26---70f34bf5-b8e8-4d81-9703-88d2102c7435.xlsx; product-level MRR loaded.,$0.00,$0.00,$0.00,,,Tigerpaw,Active,,$836.12,
Ustele Inc.,,,,"September 9, 2026 3:20 AM (EDT)",,Jakob Champion,$831.22,$0.00,,,"September 9, 2026 3:20 AM (EDT)","September 9, 2026 3:20 AM (EDT)",22152,,,"April 15, 2024",,June 2026 retention import from Cohort_Jun26_wo_Payments_7.6.26---70f34bf5-b8e8-4d81-9703-88d2102c7435.xlsx; product-level MRR loaded.,$0.00,$0.00,$0.00,,,Tigerpaw,Active,,$831.22,
Texas Computer Associates,,,,"July 8, 2026 3:23 AM (EDT)",,Katerra Stephenson-Greenwood,$390.00,$0.00,,,"July 8, 2026 3:23 AM (EDT)","July 8, 2026 3:23 AM (EDT)",22446,,,,,June 2026 retention import from Cohort_Jun26_wo_Payments_7.6.26---70f34bf5-b8e8-4d81-9703-88d2102c7435.xlsx; product-level MRR loaded.,$0.00,$0.00,$0.00,,,Tigerpaw,Active,,$390.00,
Best Products Sales & Service,,,,"September 9, 2026 3:20 AM (EDT)",,Justin Lee,$813.89,$0.00,,,"September 9, 2026 3:20 AM (EDT)","September 9, 2026 3:20 AM (EDT)",22173,,,"April 2, 2024",,June 2026 retention import from Cohort_Jun26_wo_Payments_7.6.26---70f34bf5-b8e8-4d81-9703-88d2102c7435.xlsx; product-level MRR loaded.,$0.00,$0.00,$0.00,,,Tigerpaw,Active,,$813.89,
Convergent Solutions,,,,"September 9, 2026 3:20 AM (EDT)",,Justin Lee,$810.39,$0.00,,,"September 9, 2026 3:20 AM (EDT)","September 9, 2026 3:20 AM (EDT)",22665,,,,,June 2026 retention import from Cohort_Jun26_wo_Payments_7.6.26---70f34bf5-b8e8-4d81-9703-88d2102c7435.xlsx; product-level MRR loaded.,$0.00,$0.00,$0.00,,,Tigerpaw,Active,,$810.39,
Raytec Systems,,,,"September 9, 2026 3:20 AM (EDT)",Sarah McGovern,Jakob Champion,$810.39,$0.00,RAYTECSYSTEMSPSA,RAYTECSYSTEMSPSA,"September 9, 2026 3:20 AM (EDT)","August 3, 2026 8:00 PM (EDT)",22782,,,,,June 2026 retention import from Cohort_Jun26_wo_Payments_7.6.26---70f34bf5-b8e8-4d81-9703-88d2102c7435.xlsx; product-level MRR loaded.,$0.00,$0.00,$0.00,,,"PSA Web, Tigerpaw",Active,,$810.39,
"Network Enhancement Systems, Inc",,,,"September 9, 2026 3:20 AM (EDT)",,,$854.15,$0.00,,NETWORKENHANCEMENTSYSTEMSPSA,"September 9, 2026 3:20 AM (EDT)","September 9, 2026 3:20 AM (EDT)",22546,,,,,June 2026 retention import from Cohort_Jun26_wo_Payments_7.6.26---70f34bf5-b8e8-4d81-9703-88d2102c7435.xlsx; product-level MRR loaded.,$0.00,$0.00,$0.00,,,Tigerpaw,Active,,$771.72,
DTEL Telecommunications 2nd DB,,,,"September 9, 2026 3:20 AM (EDT)",,Jakob Champion,$770.40,$0.00,,,"September 9, 2026 3:20 AM (EDT)","September 9, 2026 3:20 AM (EDT)",22468,,,,,June 2026 retention import from Cohort_Jun26_wo_Payments_7.6.26---70f34bf5-b8e8-4d81-9703-88d2102c7435.xlsx; product-level MRR loaded.,$0.00,$0.00,$0.00,,,Tigerpaw,Active,,$770.40,
Davis Ulmer Fire Protection,,,,"September 9, 2026 3:20 AM (EDT)",,,$806.36,$0.00,,,"September 9, 2026 3:20 AM (EDT)","September 9, 2026 3:20 AM (EDT)",22570,,,,,June 2026 retention import from Cohort_Jun26_wo_Payments_7.6.26---70f34bf5-b8e8-4d81-9703-88d2102c7435.xlsx; product-level MRR loaded.,$0.00,$0.00,$0.00,,,Tigerpaw,Active,,$770.40,
Orkestra LLC,,,,"April 6, 2026 8:00 PM (EDT)",,,$650.00,$650.00,ORKESTRA,ORKESTRA,"April 5, 2029 8:00 PM (EDT)","April 6, 2026 8:00 PM (EDT)",22984,,,,,June 2026 retention import from Cohort_Jun26_wo_Payments_7.6.26---70f34bf5-b8e8-4d81-9703-88d2102c7435.xlsx; product-level MRR loaded.,$0.00,$0.00,$0.00,,,Billing,Active,,$0.00,
Agility Integration,,,,"September 9, 2026 3:20 AM (EDT)",rinor.berisha,Ingrid Beard,$765.72,$0.00,,,"September 9, 2026 3:20 AM (EDT)","September 9, 2026 3:20 AM (EDT)",22397,,,,,June 2026 retention import from Cohort_Jun26_wo_Payments_7.6.26---70f34bf5-b8e8-4d81-9703-88d2102c7435.xlsx; product-level MRR loaded.,$0.00,$0.00,$0.00,,,Tigerpaw,Active,,$765.72,
"Carrier SI, Inc.",,,,"September 9, 2026 3:20 AM (EDT)",,,$790.00,$0.00,,,"September 9, 2026 3:20 AM (EDT)","September 9, 2026 3:20 AM (EDT)",22635,,,"July 8, 2026",,June 2026 retention import from Cohort_Jun26_wo_Payments_7.6.26---70f34bf5-b8e8-4d81-9703-88d2102c7435.xlsx; product-level MRR loaded.,$0.00,$0.00,$0.00,,,Tigerpaw,Active,,$790.00,
Semetra,,,,"June 29, 2026 1:00 PM (EDT)",,Jake Borah,$0.00,$0.00,SEMETRAPSA,SEMETRAPSA,"June 29, 2026 1:00 PM (EDT)","June 29, 2026 1:00 PM (EDT)",22909,,,,,June 2026 retention import from Cohort_Jun26_wo_Payments_7.6.26---70f34bf5-b8e8-4d81-9703-88d2102c7435.xlsx; product-level MRR loaded.,$0.00,$0.00,$0.00,,,PSA Web,Churned,,$0.00,
"Advanced Communication Technologies, Inc.",,,,"September 9, 2026 3:20 AM (EDT)",rinor.berisha,,$774.13,$0.00,,,"September 9, 2026 3:20 AM (EDT)","September 9, 2026 3:20 AM (EDT)",22180,,,,,June 2026 retention import from Cohort_Jun26_wo_Payments_7.6.26---70f34bf5-b8e8-4d81-9703-88d2102c7435.xlsx; product-level MRR loaded.,$0.00,$0.00,$0.00,,,Tigerpaw,Active,,$756.49,
Savvy AI,"March 27, 2026","April 26, 2026","May 26, 2026","December 19, 2025 7:00 PM (EST)",rinor.berisha,,$0.00,$0.00,SAVVYAIPSA,SAVVYAIPSA,"June 29, 2026 1:02 PM (EDT)","October 20, 2025 8:00 PM (EDT)",22932,"February 25, 2026",Graduated,,,June 2026 retention import from Cohort_Jun26_wo_Payments_7.6.26---70f34bf5-b8e8-4d81-9703-88d2102c7435.xlsx; product-level MRR loaded.,$0.00,$0.00,$0.00,,,PSA Web,Churned,,$0.00,
Communications Unlimited,,,,"September 9, 2026 3:20 AM (EDT)",Sarah McGovern,Justin Lee,$788.45,$0.00,,,"September 9, 2026 3:20 AM (EDT)","September 9, 2026 3:20 AM (EDT)",22678,,,"February 27, 2024",,June 2026 retention import from Cohort_Jun26_wo_Payments_7.6.26---70f34bf5-b8e8-4d81-9703-88d2102c7435.xlsx; product-level MRR loaded.,$0.00,$0.00,$0.00,,,Tigerpaw,Active,,$753.28,
Sunrise Solutions Inc,"August 29, 2026","September 28, 2026","October 28, 2026","September 9, 2026 3:21 AM (EDT)",,Ingrid Beard,$702.37,$0.00,SUNRISESOLUTIONSPSA,SUNRISESOLUTIONSPSA,"September 9, 2026 3:21 AM (EDT)","April 22, 2026 8:00 PM (EDT)",22238,"July 30, 2026",,"November 1, 2023",,June 2026 retention import from Cohort_Jun26_wo_Payments_7.6.26---70f34bf5-b8e8-4d81-9703-88d2102c7435.xlsx; product-level MRR loaded.,$0.00,$0.00,$0.00,,,"PSA Web, Tigerpaw",Churned,,-$606.69,
"P. J. Kortens and Company, Inc.",,,,"September 9, 2026 3:20 AM (EDT)",,Jakob Champion,$802.50,$0.00,,,"September 9, 2026 3:20 AM (EDT)","September 9, 2026 3:20 AM (EDT)",22188,,,"March 13, 2024",,June 2026 retention import from Cohort_Jun26_wo_Payments_7.6.26---70f34bf5-b8e8-4d81-9703-88d2102c7435.xlsx; product-level MRR loaded.,$0.00,$0.00,$0.00,,,Tigerpaw,Active,,$802.50,
Transcom Telecommunications,,,,"September 9, 2026 3:20 AM (EDT)",Sarah McGovern,Justin Lee,$745.36,$0.00,,,"September 9, 2026 3:20 AM (EDT)","September 9, 2026 3:20 AM (EDT)",22675,,,,,June 2026 retention import from Cohort_Jun26_wo_Payments_7.6.26---70f34bf5-b8e8-4d81-9703-88d2102c7435.xlsx; product-level MRR loaded.,$0.00,$0.00,$0.00,,,Tigerpaw,Active,,$745.36,
Audio & Light,,,,"September 9, 2026 3:20 AM (EDT)",,,$761.39,$0.00,,,"September 9, 2026 3:20 AM (EDT)","September 9, 2026 3:20 AM (EDT)",22342,,,,,June 2026 retention import from Cohort_Jun26_wo_Payments_7.6.26---70f34bf5-b8e8-4d81-9703-88d2102c7435.xlsx; product-level MRR loaded.,$0.00,$0.00,$0.00,,,Tigerpaw,Active,,$761.39,
4D IT,,,,"September 9, 2026 3:20 AM (EDT)",,Ingrid Beard,$740.19,$0.00,,,"September 9, 2026 3:20 AM (EDT)","September 9, 2026 3:20 AM (EDT)",22466,,,,,June 2026 retention import from Cohort_Jun26_wo_Payments_7.6.26---70f34bf5-b8e8-4d81-9703-88d2102c7435.xlsx; product-level MRR loaded.,$0.00,$0.00,$9.40,,,Tigerpaw,Active,,$740.19,
Telewire Inc.,,,,"September 9, 2026 3:20 AM (EDT)",Sarah McGovern,Katerra Stephenson-Greenwood,$733.39,$0.00,,,"September 9, 2026 3:20 AM (EDT)","September 9, 2026 3:20 AM (EDT)",22703,,,"July 2, 2026",,June 2026 retention import from Cohort_Jun26_wo_Payments_7.6.26---70f34bf5-b8e8-4d81-9703-88d2102c7435.xlsx; product-level MRR loaded.,$0.00,$0.00,$0.00,,,Tigerpaw,Active,,$729.74,
Greenwire LLC,,,,"September 25, 2025 8:00 PM (EDT)",,,$705.95,$625.47,GREENWIRE,GREENWIRE,"September 24, 2027 8:00 PM (EDT)","September 25, 2025 8:00 PM (EDT)",22837,,,,,June 2026 retention import from Cohort_Jun26_wo_Payments_7.6.26---70f34bf5-b8e8-4d81-9703-88d2102c7435.xlsx; product-level MRR loaded.,$0.00,$0.00,$0.00,,,Billing,Active,,$0.00,
E-Z Tel Inc.,,,,"September 9, 2026 3:20 AM (EDT)",,Katerra Stephenson-Greenwood,$759.42,$0.00,,,"September 9, 2026 3:20 AM (EDT)","September 9, 2026 3:20 AM (EDT)",22054,,,"August 27, 2024",,June 2026 retention import from Cohort_Jun26_wo_Payments_7.6.26---70f34bf5-b8e8-4d81-9703-88d2102c7435.xlsx; product-level MRR loaded.,$0.00,$0.00,$0.00,,,Tigerpaw,Active,,$755.64,
